Date,Business,Revenue,GDP
2013-01-31,biz A,90.0088,5.0
2013-01-31,biz B,241.6681,5.0
2013-01-31,biz C,114.0348,5.0
2013-01-31,biz D,101.1807,5.0
2013-01-31,biz E,55.9302,5.0
2013-02-28,biz A,92.7784,5.042
2013-02-28,biz B,141.3698,5.042
2013-02-28,biz C,90.2839,5.042
2013-02-28,biz D,103.903,5.042
2013-02-28,biz E,58.5173,5.042
2013-03-31,biz A,94.9471,5.084
2013-03-31,biz B,154.5092,5.084
2013-03-31,biz C,115.2903,5.084
2013-03-31,biz D,104.1758,5.084
2013-03-31,biz E,56.0886,5.084
2013-04-30,biz A,114.1447,5.1261
2013-04-30,biz B,161.631,5.1261
2013-04-30,biz C,110.9048,5.1261
2013-04-30,biz D,94.6801,5.1261
2013-04-30,biz E,54.489,5.1261
2013-05-31,biz A,82.0206,5.1681
2013-05-31,biz B,121.9288,5.1681
2013-05-31,biz C,99.404,5.1681
2013-05-31,biz D,108.6637,5.1681
2013-05-31,biz E,53.8572,5.1681
2013-06-30,biz A,99.2895,5.2101
2013-06-30,biz B,150.3582,5.2101
2013-06-30,biz C,114.1713,5.2101
2013-06-30,biz D,125.1724,5.2101
2013-06-30,biz E,58.5498,5.2101
2013-07-31,biz A,92.1974,5.2521
2013-07-31,biz B,147.5421,5.2521
2013-07-31,biz C,121.1773,5.2521
2013-07-31,biz D,97.1082,5.2521
2013-07-31,biz E,62.7576,5.2521
2013-08-31,biz A,89.8729,5.2941
2013-08-31,biz B,149.1253,5.2941
2013-08-31,biz C,104.786,5.2941
2013-08-31,biz D,93.9493,5.2941
2013-08-31,biz E,47.9557,5.2941
2013-09-30,biz A,104.857,5.3361
2013-09-30,biz B,154.2192,5.3361
2013-09-30,biz C,105.6597,5.3361
2013-09-30,biz D,148.1843,5.3361
2013-09-30,biz E,56.4717,5.3361
2013-10-31,biz A,85.6575,5.3782
2013-10-31,biz B,143.2882,5.3782
2013-10-31,biz C,125.6766,5.3782
2013-10-31,biz D,117.0141,5.3782
2013-10-31,biz E,62.8864,5.3782
2013-11-30,biz A,82.3961,5.4202
2013-11-30,biz B,178.0854,5.4202
2013-11-30,biz C,273.6121,5.4202
2013-11-30,biz D,98.2897,5.4202
2013-11-30,biz E,55.1276,5.4202
2013-12-31,biz A,99.8482,5.4622
2013-12-31,biz B,385.5095,5.4622
2013-12-31,biz C,113.4907,5.4622
2013-12-31,biz D,183.4606,5.4622
2013-12-31,biz E,63.9371,5.4622
2014-01-31,biz A,116.3757,5.5042
2014-01-31,biz B,160.8621,5.5042
2014-01-31,biz C,125.1148,5.5042
2014-01-31,biz D,107.7144,5.5042
2014-01-31,biz E,61.8695,5.5042
2014-02-28,biz A,89.2368,5.5462
2014-02-28,biz B,160.1904,5.5462
2014-02-28,biz C,132.4604,5.5462
2014-02-28,biz D,263.5804,5.5462
2014-02-28,biz E,67.551,5.5462
2014-03-31,biz A,91.306,5.5882
2014-03-31,biz B,176.6566,5.5882
2014-03-31,biz C,142.1253,5.5882
2014-03-31,biz D,107.9667,5.5882
2014-03-31,biz E,54.5484,5.5882
2014-04-30,biz A,97.0112,5.6303
2014-04-30,biz B,151.8383,5.6303
2014-04-30,biz C,113.2209,5.6303
2014-04-30,biz D,122.5243,5.6303
2014-04-30,biz E,60.2708,5.6303
2014-05-31,biz A,98.0082,5.6723
2014-05-31,biz B,148.1689,5.6723
2014-05-31,biz C,138.4178,5.6723
2014-05-31,biz D,112.7694,5.6723
2014-05-31,biz E,62.5863,5.6723
2014-06-30,biz A,99.8696,5.7143
2014-06-30,biz B,144.1133,5.7143
2014-06-30,biz C,113.1365,5.7143
2014-06-30,biz D,119.8099,5.7143
2014-06-30,biz E,60.3507,5.7143
2014-07-31,biz A,84.3335,5.7563
2014-07-31,biz B,315.1427,5.7563
2014-07-31,biz C,120.162,5.7563
2014-07-31,biz D,122.4756,5.7563
2014-07-31,biz E,62.0027,5.7563
2014-08-31,biz A,106.1496,5.7983
2014-08-31,biz B,146.9343,5.7983
2014-08-31,biz C,115.8996,5.7983
2014-08-31,biz D,103.4334,5.7983
2014-08-31,biz E,58.5759,5.7983
2014-09-30,biz A,90.4158,5.8403
2014-09-30,biz B,174.9909,5.8403
2014-09-30,biz C,132.0044,5.8403
2014-09-30,biz D,99.4594,5.8403
2014-09-30,biz E,60.374,5.8403
2014-10-31,biz A,96.7972,5.8824
2014-10-31,biz B,156.8372,5.8824
2014-10-31,biz C,115.6796,5.8824
2014-10-31,biz D,94.4767,5.8824
2014-10-31,biz E,37.9247,5.8824
2014-11-30,biz A,105.7368,5.9244
2014-11-30,biz B,152.4153,5.9244
2014-11-30,biz C,129.5223,5.9244
2014-11-30,biz D,95.8583,5.9244
2014-11-30,biz E,63.7404,5.9244
2014-12-31,biz A,99.1661,5.9664
2014-12-31,biz B,148.6689,5.9664
2014-12-31,biz C,128.1666,5.9664
2014-12-31,biz D,112.3,5.9664
2014-12-31,biz E,64.3491,5.9664
2015-01-31,biz A,108.6499,6.0084
2015-01-31,biz B,157.2015,6.0084
2015-01-31,biz C,138.6225,6.0084
2015-01-31,biz D,125.3265,6.0084
2015-01-31,biz E,67.7026,6.0084
2015-02-28,biz A,104.3221,6.0504
2015-02-28,biz B,169.3111,6.0504
2015-02-28,biz C,144.5163,6.0504
2015-02-28,biz D,269.1378,6.0504
2015-02-28,biz E,72.5933,6.0504
2015-03-31,biz A,112.5083,6.0924
2015-03-31,biz B,207.0676,6.0924
2015-03-31,biz C,138.217,6.0924
2015-03-31,biz D,131.3551,6.0924
2015-03-31,biz E,62.9828,6.0924
2015-04-30,biz A,121.3291,6.1345
2015-04-30,biz B,181.5092,6.1345
2015-04-30,biz C,135.6553,6.1345
2015-04-30,biz D,120.2758,6.1345
2015-04-30,biz E,67.5267,6.1345
2015-05-31,biz A,96.3476,6.1765
2015-05-31,biz B,171.18,6.1765
2015-05-31,biz C,147.4306,6.1765
2015-05-31,biz D,122.7871,6.1765
2015-05-31,biz E,70.6786,6.1765
2015-06-30,biz A,98.7694,6.2185
2015-06-30,biz B,337.251,6.2185
2015-06-30,biz C,141.8374,6.2185
2015-06-30,biz D,281.5418,6.2185
2015-06-30,biz E,129.6931,6.2185
2015-07-31,biz A,122.1071,6.2605
2015-07-31,biz B,166.8626,6.2605
2015-07-31,biz C,299.7823,6.2605
2015-07-31,biz D,116.4058,6.2605
2015-07-31,biz E,64.2399,6.2605
2015-08-31,biz A,95.4877,6.3025
2015-08-31,biz B,182.3829,6.3025
2015-08-31,biz C,239.72,6.3025
2015-08-31,biz D,122.5247,6.3025
2015-08-31,biz E,64.8953,6.3025
2015-09-30,biz A,117.3858,6.3445
2015-09-30,biz B,140.7772,6.3445
2015-09-30,biz C,343.3882,6.3445
2015-09-30,biz D,105.505,6.3445
2015-09-30,biz E,86.6248,6.3445
2015-10-31,biz A,77.049,6.3866
2015-10-31,biz B,320.7496,6.3866
2015-10-31,biz C,131.53,6.3866
2015-10-31,biz D,113.8884,6.3866
2015-10-31,biz E,60.5281,6.3866
2015-11-30,biz A,102.3844,6.4286
2015-11-30,biz B,148.0088,6.4286
2015-11-30,biz C,300.7221,6.4286
2015-11-30,biz D,131.4765,6.4286
2015-11-30,biz E,67.4179,6.4286
2015-12-31,biz A,112.4317,6.4706
2015-12-31,biz B,172.159,6.4706
2015-12-31,biz C,152.3135,6.4706
2015-12-31,biz D,139.6641,6.4706
2015-12-31,biz E,65.0375,6.4706
2016-01-31,biz A,101.6341,6.5126
2016-01-31,biz B,157.5714,6.5126
2016-01-31,biz C,124.8166,6.5126
2016-01-31,biz D,131.0027,6.5126
2016-01-31,biz E,81.2088,6.5126
2016-02-29,biz A,246.382,6.5546
2016-02-29,biz B,190.2722,6.5546
2016-02-29,biz C,307.1105,6.5546
2016-02-29,biz D,195.2308,6.5546
2016-02-29,biz E,77.6642,6.5546
2016-03-31,biz A,104.525,6.5966
2016-03-31,biz B,205.2561,6.5966
2016-03-31,biz C,167.7397,6.5966
2016-03-31,biz D,136.3361,6.5966
2016-03-31,biz E,86.2215,6.5966
2016-04-30,biz A,109.5477,6.6387
2016-04-30,biz B,192.9998,6.6387
2016-04-30,biz C,261.4776,6.6387
2016-04-30,biz D,135.3464,6.6387
2016-04-30,biz E,64.9056,6.6387
2016-05-31,biz A,127.7932,6.6807
2016-05-31,biz B,186.5567,6.6807
2016-05-31,biz C,132.2001,6.6807
2016-05-31,biz D,122.7801,6.6807
2016-05-31,biz E,64.9251,6.6807
2016-06-30,biz A,121.4324,6.7227
2016-06-30,biz B,328.0634,6.7227
2016-06-30,biz C,130.4493,6.7227
2016-06-30,biz D,127.5483,6.7227
2016-06-30,biz E,70.9935,6.7227
2016-07-31,biz A,104.5792,6.7647
2016-07-31,biz B,188.1566,6.7647
2016-07-31,biz C,140.5834,6.7647
2016-07-31,biz D,120.8777,6.7647
2016-07-31,biz E,68.1439,6.7647
2016-08-31,biz A,187.3445,6.8067
2016-08-31,biz B,205.9647,6.8067
2016-08-31,biz C,149.0717,6.8067
2016-08-31,biz D,125.377,6.8067
2016-08-31,biz E,75.0316,6.8067
2016-09-30,biz A,191.9309,6.8487
2016-09-30,biz B,181.5542,6.8487
2016-09-30,biz C,129.8839,6.8487
2016-09-30,biz D,131.4437,6.8487
2016-09-30,biz E,63.4559,6.8487
2016-10-31,biz A,108.9355,6.8908
2016-10-31,biz B,222.8702,6.8908
2016-10-31,biz C,145.3211,6.8908
2016-10-31,biz D,242.9073,6.8908
2016-10-31,biz E,168.7951,6.8908
2016-11-30,biz A,250.3897,6.9328
2016-11-30,biz B,177.8355,6.9328
2016-11-30,biz C,164.2337,6.9328
2016-11-30,biz D,124.4854,6.9328
2016-11-30,biz E,74.8913,6.9328
2016-12-31,biz A,122.6445,6.9748
2016-12-31,biz B,198.1594,6.9748
2016-12-31,biz C,132.0076,6.9748
2016-12-31,biz D,128.1395,6.9748
2016-12-31,biz E,79.9527,6.9748
2017-01-31,biz A,121.8748,7.0168
2017-01-31,biz B,198.8174,7.0168
2017-01-31,biz C,154.4236,7.0168
2017-01-31,biz D,140.2097,7.0168
2017-01-31,biz E,84.6561,7.0168
2017-02-28,biz A,123.8201,7.0588
2017-02-28,biz B,196.5795,7.0588
2017-02-28,biz C,164.4255,7.0588
2017-02-28,biz D,261.5695,7.0588
2017-02-28,biz E,82.0839,7.0588
2017-03-31,biz A,100.2729,7.1008
2017-03-31,biz B,196.15,7.1008
2017-03-31,biz C,165.8293,7.1008
2017-03-31,biz D,152.9578,7.1008
2017-03-31,biz E,74.0399,7.1008
2017-04-30,biz A,115.5243,7.1429
2017-04-30,biz B,188.1398,7.1429
2017-04-30,biz C,295.9358,7.1429
2017-04-30,biz D,146.5657,7.1429
2017-04-30,biz E,80.9372,7.1429
2017-05-31,biz A,137.8973,7.1849
2017-05-31,biz B,185.6132,7.1849
2017-05-31,biz C,152.7804,7.1849
2017-05-31,biz D,141.6628,7.1849
2017-05-31,biz E,73.5667,7.1849
2017-06-30,biz A,120.8123,7.2269
2017-06-30,biz B,190.3221,7.2269
2017-06-30,biz C,160.2937,7.2269
2017-06-30,biz D,135.247,7.2269
2017-06-30,biz E,74.3063,7.2269
2017-07-31,biz A,116.6134,7.2689
2017-07-31,biz B,198.3335,7.2689
2017-07-31,biz C,165.9167,7.2689
2017-07-31,biz D,133.6949,7.2689
2017-07-31,biz E,72.2575,7.2689
2017-08-31,biz A,203.1546,7.3109
2017-08-31,biz B,200.1529,7.3109
2017-08-31,biz C,159.0004,7.3109
2017-08-31,biz D,340.6702,7.3109
2017-08-31,biz E,73.4049,7.3109
2017-09-30,biz A,105.5681,7.3529
2017-09-30,biz B,189.7506,7.3529
2017-09-30,biz C,141.711,7.3529
2017-09-30,biz D,146.6868,7.3529
2017-09-30,biz E,73.0472,7.3529
2017-10-31,biz A,128.1898,7.395
