Date,Business,Revenue,Unemployment rate
2013-01-31,Business X,56248413.8065,2.0
2013-01-31,Business Y,76097689.2565,2.0
2013-01-31,Business Z,40692566.4767,2.0
2013-02-28,Business X,35220882.1903,2.042
2013-02-28,Business Y,52742968.1038,2.042
2013-02-28,Business Z,69877648.8605,2.042
2013-03-31,Business X,48351175.4856,2.084
2013-03-31,Business Y,63463802.4934,2.084
2013-03-31,Business Z,57743709.6492,2.084
2013-04-30,Business X,56016199.5776,2.1261
2013-04-30,Business Y,69608514.0212,2.1261
2013-04-30,Business Z,29537421.2277,2.1261
2013-05-31,Business X,50465182.2597,2.1681
2013-05-31,Business Y,81617854.3898,2.1681
2013-05-31,Business Z,50299494.6676,2.1681
2013-06-30,Business X,68420781.3357,2.2101
2013-06-30,Business Y,78509136.2358,2.2101
2013-06-30,Business Z,92074171.7662,2.2101
2013-07-31,Business X,70444321.2086,2.2521
2013-07-31,Business Y,64464853.1973,2.2521
2013-07-31,Business Z,39337553.0563,2.2521
2013-08-31,Business X,59865389.1114,2.2941
2013-08-31,Business Y,65926861.7708,2.2941
2013-08-31,Business Z,23988121.0893,2.2941
2013-09-30,Business X,57502946.2642,2.3361
2013-09-30,Business Y,76042683.5553,2.3361
2013-09-30,Business Z,59606249.3437,2.3361
2013-10-31,Business X,54298863.4862,2.3782
2013-10-31,Business Y,89493890.4333,2.3782
2013-10-31,Business Z,61535086.4467,2.3782
2013-11-30,Business X,50995125.394,2.4202
2013-11-30,Business Y,78628120.2287,2.4202
2013-11-30,Business Z,44403198.5688,2.4202
2013-12-31,Business X,58632751.4443,2.4622
2013-12-31,Business Y,78869882.9356,2.4622
2013-12-31,Business Z,40358976.1581,2.4622
2014-01-31,Business X,64002441.8095,2.5042
2014-01-31,Business Y,82942646.5501,2.5042
2014-01-31,Business Z,69935911.2976,2.5042
2014-02-28,Business X,54631907.3832,2.5462
2014-02-28,Business Y,88602971.7432,2.5462
2014-02-28,Business Z,62817144.0073,2.5462
2014-03-31,Business X,62469181.7305,2.5882
2014-03-31,Business Y,102351220.1999,2.5882
2014-03-31,Business Z,51846099.848,2.5882
2014-04-30,Business X,61443607.0016,2.6303
2014-04-30,Business Y,87419231.8101,2.6303
2014-04-30,Business Z,57373639.6208,2.6303
2014-05-31,Business X,68061352.3212,2.6723
2014-05-31,Business Y,115832224.374,2.6723
2014-05-31,Business Z,59112633.9815,2.6723
2014-06-30,Business X,76185784.2171,2.7143
2014-06-30,Business Y,81082457.7059,2.7143
2014-06-30,Business Z,59856900.351,2.7143
2014-07-31,Business X,75106996.5206,2.7563
2014-07-31,Business Y,76625347.0101,2.7563
2014-07-31,Business Z,61584970.4882,2.7563
2014-08-31,Business X,63315405.8691,2.7983
2014-08-31,Business Y,97966610.9633,2.7983
2014-08-31,Business Z,46063457.7902,2.7983
2014-09-30,Business X,77848579.4563,2.8403
2014-09-30,Business Y,113689589.8747,2.8403
2014-09-30,Business Z,44295648.1092,2.8403
2014-10-31,Business X,64713857.02,2.8824
2014-10-31,Business Y,95035006.6261,2.8824
2014-10-31,Business Z,69878610.1523,2.8824
2014-11-30,Business X,52315536.7359,2.9244
2014-11-30,Business Y,94084322.215,2.9244
2014-11-30,Business Z,66971193.5903,2.9244
2014-12-31,Business X,75414585.265,2.9664
2014-12-31,Business Y,101087713.0597,2.9664
2014-12-31,Business Z,69543524.1187,2.9664
2015-01-31,Business X,79811165.4221,3.0084
2015-01-31,Business Y,104167248.3082,3.0084
2015-01-31,Business Z,57936971.0041,3.0084
2015-02-28,Business X,69785385.9691,3.0504
2015-02-28,Business Y,108256193.3969,3.0504
2015-02-28,Business Z,77460352.216,3.0504
2015-03-31,Business X,68670066.8802,3.0924
2015-03-31,Business Y,118219267.9277,3.0924
2015-03-31,Business Z,44252437.865,3.0924
2015-04-30,Business X,84036262.7564,3.1345
2015-04-30,Business Y,94013924.0981,3.1345
2015-04-30,Business Z,61572411.1096,3.1345
2015-05-31,Business X,94483357.5393,3.1765
2015-05-31,Business Y,116121850.7707,3.1765
2015-05-31,Business Z,62730049.8509,3.1765
2015-06-30,Business X,88367590.0356,3.2185
2015-06-30,Business Y,100799257.5226,3.2185
2015-06-30,Business Z,87776931.1634,3.2185
2015-07-31,Business X,69853131.0848,3.2605
2015-07-31,Business Y,105848982.0969,3.2605
2015-07-31,Business Z,83192599.4447,3.2605
2015-08-31,Business X,74346619.3434,3.3025
2015-08-31,Business Y,134876631.6174,3.3025
2015-08-31,Business Z,55219849.1018,3.3025
2015-09-30,Business X,79309781.7624,3.3445
2015-09-30,Business Y,84624160.5016,3.3445
2015-09-30,Business Z,54150618.4829,3.3445
2015-10-31,Business X,90936062.1357,3.3866
2015-10-31,Business Y,118651761.1462,3.3866
2015-10-31,Business Z,84602163.0036,3.3866
2015-11-30,Business X,66657170.6271,3.4286
2015-11-30,Business Y,61110215.4863,3.4286
2015-11-30,Business Z,65976120.6713,3.4286
2015-12-31,Business X,70423001.7955,3.4706
2015-12-31,Business Y,97041399.7944,3.4706
2015-12-31,Business Z,63301567.6528,3.4706
2016-01-31,Business X,72697620.1264,3.5126
2016-01-31,Business Y,102991306.9495,3.5126
2016-01-31,Business Z,69529633.4275,3.5126
2016-02-29,Business X,77610046.6903,3.5546
2016-02-29,Business Y,83105684.9565,3.5546
2016-02-29,Business Z,57782808.1412,3.5546
2016-03-31,Business X,75665076.1621,3.5966
2016-03-31,Business Y,107496419.3864,3.5966
2016-03-31,Business Z,74663336.4871,3.5966
2016-04-30,Business X,95217832.96,3.6387
2016-04-30,Business Y,91899881.5913,3.6387
2016-04-30,Business Z,71124931.6541,3.6387
2016-05-31,Business X,93111592.9704,3.6807
2016-05-31,Business Y,112787381.8033,3.6807
2016-05-31,Business Z,71082271.7276,3.6807
2016-06-30,Business X,80439263.8894,3.7227
2016-06-30,Business Y,115109035.2052,3.7227
2016-06-30,Business Z,115078295.2825,3.7227
2016-07-31,Business X,96877748.85,3.7647
2016-07-31,Business Y,116781509.9052,3.7647
2016-07-31,Business Z,75919530.6114,3.7647
2016-08-31,Business X,91047815.1145,3.8067
2016-08-31,Business Y,106450195.0816,3.8067
2016-08-31,Business Z,51028644.7806,3.8067
2016-09-30,Business X,67225641.8292,3.8487
2016-09-30,Business Y,94662601.2343,3.8487
2016-09-30,Business Z,74791577.2163,3.8487
2016-10-31,Business X,81843885.8606,3.8908
2016-10-31,Business Y,117404065.0083,3.8908
2016-10-31,Business Z,87639903.2849,3.8908
2016-11-30,Business X,87798575.8357,3.9328
2016-11-30,Business Y,126024411.3653,3.9328
2016-11-30,Business Z,62962724.878,3.9328
2016-12-31,Business X,84572365.0718,3.9748
2016-12-31,Business Y,107659238.5,3.9748
2016-12-31,Business Z,94836705.4137,3.9748
2017-01-31,Business X,103714054.384,4.0168
2017-01-31,Business Y,127998218.7064,4.0168
2017-01-31,Business Z,84256228.0969,4.0168
2017-02-28,Business X,89142847.4119,4.0588
2017-02-28,Business Y,120823380.4177,4.0588
2017-02-28,Business Z,73149212.7393,4.0588
2017-03-31,Business X,91068256.2046,4.1008
2017-03-31,Business Y,112387487.3387,4.1008
2017-03-31,Business Z,69735154.8377,4.1008
2017-04-30,Business X,120252144.776,4.1429
2017-04-30,Business Y,116920806.5039,4.1429
2017-04-30,Business Z,89302985.9132,4.1429
2017-05-31,Business X,101619768.919,4.1849
